"artifact_id","role","bytes","sha256","path"
"tournament-sensitivity","tournament-artifact","13052","5d6676552e34e12bd3b75ab7f514ac508557e692c6fa7582bbcd08911f5b4f39","data/releases/index-sensitivity-analysis-v1/result.v1.json"
"tournament-source-dependence","tournament-artifact","9061","b34ff36c5e82f4b50fa71eb3f349ef0224848a3fb1141aef9e4fb86e64ffa14f","data/releases/index-source-dependence-v1/result.v1.json"
"tournament-subgroup-fairness","tournament-artifact","14679","1108c521d1fa6131fc379c6f3b60132eae5a77e0c97c33582b09694643e18a30","data/releases/index-subgroup-fairness-v1/result.v1.json"
"confirmatory-decision","disposition","8963","8e6f124ccff8ba897b18d3ad1c1ac1e39b215f103b82bb6dca561aa6d84fdae2","data/releases/index-tournament-confirmatory-decision-v1/decision.v1.json"
"tournament-evaluation-suite","tournament-artifact","7005","e52bf0dc6c3a12489f19098a2842113b54c6c61c93488d177129d8a22868c09e","data/releases/index-tournament-evaluation-suite-v1/manifest.v1.json"
"tournament-package-inventory","tournament-package","3948","5b9c66eeef9a38fd874c125c5afca6d31ca884cd80053878302d3b3c66bc2408","data/releases/index-tournament-results-package-v1/artifact-inventory.v1.csv"
"tournament-failure-ledger","tournament-package","2489","0c05913b949bb92feb56cf3c593bfe6fa54d9a4c3fe182391f622450d5882a86","data/releases/index-tournament-results-package-v1/error-ledger.v1.json"
"tournament-package-manifest","tournament-package","25758","f8f59eefba7fd65de84de2c6b8b04cfe42cee2cab39e12712a6f6dbef86c0b45","data/releases/index-tournament-results-package-v1/manifest.v1.json"
"tournament-validity","tournament-artifact","4629","4ecc0c9a985d4eee07911136ec031d511d288fd0b0d961ed4aef358951ba4e9e","data/releases/index-validity-analysis-v1/result.v1.json"
"tournament-k1","tournament-artifact","3343","0e6c24d58dc59710deebe47fadbeb4c12e2879440cfad9137628653cfa994e5b","data/releases/k1-current-composite-tournament-v1/manifest.v1.json"
"tournament-k2","tournament-artifact","1287","3b355c2491a31321b9bfd2c92ea501991110f295271d32b3fdc486dd7b623e35","data/releases/k2-concordance-prototype-v1/manifest.v1.json"
"tournament-k3","tournament-artifact","1061","a630c639941b009d56fc84674d31ac32baca52cbced631b3d623d2a79c65519d","data/releases/k3-power-transfer-ledger-prototype-v1/manifest.v1.json"
"tournament-k4","tournament-artifact","1110","9ac2e28a6ae8061cd31e1d0dd70148069e803a33bbc3e9597917f5ed44da3bb0","data/releases/k4-constitution-practice-pairings-2024-v1/manifest.v1.json"
"tournament-k5","tournament-artifact","1804","f45cbe8a1c612a0583080fb5dfcacc36974698e158572df1543f2bdf216481cb","data/releases/k5-institutional-relation-candidates-v1/manifest.v1.json"
"package-lock","environment","408861","9558f57eba3b959d92f0a83410297d26f348b243a38a6e4a9ff5a40e7e8439a4","package-lock.json"
"public-surface-migration","disposition","3243","f38c0ca56fc5917cd81045406dd2486da126a97e481d04aa929c41723160c639","plan/evidence/IDX-027/README.md"
"tournament-k0","tournament-artifact","1849","6bd51fcef1c3729aedc07b5dbcfc9c40161b03223b3e023e52e74c2fb8eee251","plan/evidence/IDX-031/README.md"
"tournament-preregistered-protocol","tournament-artifact","793","3a831c23cbc3a01d3b292da429f4d662c10e8225afd341222b4633e2c894f31a","plan/research/index-tournament-preregistration-v3.md"
"review-packet-generator","selected-product-code","1342","0710c85056a2119cf6e5c9cb4e824615795c5ae451ddbf61fef8a913800abd15","scripts/generate-governance-evidence-review-packet.ts"
"selected-product-code-8","selected-product-code","3800","0a39c0d5fa7b4600803a210ce1813661b6aeaf5a4f49504796727645c56f4988","scripts/validate-ci-series-provenance.ts"
"selected-product-code-6","selected-product-code","2362","ba452618d78dbb750b319acdc1e8ee87681507c2ac835c494faf6c779e851f41","scripts/validate-governance-evidence-dashboard.ts"
"review-packet-validator","selected-product-code","2723","b5421a7945b01efb0ca3e64c68b1b940257f479793410a0304dc9403a7408982","scripts/validate-governance-evidence-review-packet.ts"
"selected-product-code-5","selected-product-code","1606","6bf9432491827c85cabeec581a68354714672495fbc7d48528d72efc9344ae00","src/app/api/governance-evidence/[slug]/route.ts"
"selected-product-code-4","selected-product-code","7608","b22abb81de1da099ddb92c5195479c4c21e4f6ebcb24aee00f7a9577740196b3","src/app/governance-evidence/page.tsx"
"selected-product-code-3","selected-product-code","2195","7f11dcbd969d8804244c7c75ad9c5b085d452e5b6d01afc6d09d32bc754cbe1e","src/components/governance-evidence/GovernanceEvidenceTable.tsx"
"review-packet-builder","selected-product-code","10693","18989be2e0848ecce4cd3593746231fe0a05ebf4dd67e89ac8939a963b467d47","src/lib/ci/governance-evidence-review-package.ts"
"review-packet-contract","selected-product-code","9917","b214383d5294640f182c29c070d3dbc5d704e6cae53104cd3d81ea97f09dfc95","src/lib/ci/governance-evidence-review-packet.ts"
"selected-product-code-1","selected-product-code","5593","de469f2c7465b7bc3effac5dd006b06f2dcb7b1f46a1b0d182e0ff9fca1624e7","src/lib/ci/governance-evidence.ts"
"selected-product-code-7","selected-product-code","3587","3b120071672ac3e54c3ac8cc480585ffbe27c9a69cb5866cd6b09cb3ac9e8287","src/lib/ci/series-provenance.ts"
"selected-product-code-2","selected-product-code","3620","cda486edf6e955a4d223a04bb16fc623c82f4ef450607f43d893bb047ced1778","src/lib/db/queries-governance-evidence.ts"
"rights-manifest-code","rights","16767","a1071ab37e61aaffd9604ec4092fa2eb22a7d9aefc3ad8d392e25851b5054d45","src/lib/rights/manifest.ts"
